"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"42079","May-06","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42080","Aug-06","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42081","Nov-06","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42082","Feb-07","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42083","May-07","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42084","Aug-07","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42085","Nov-07","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42086","Feb-08","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42087","May-08","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42088","Aug-08","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42089","Nov-08","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42090","Feb-09","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42091","May-09","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42092","Aug-09","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42093","Nov-09","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42094","Feb-10","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42095","May-10","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42096","Aug-10","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42097","Nov-10","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42098","Feb-11","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42099","May-11","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42100","Aug-11","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42101","Nov-11","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42102","Feb-12","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42103","May-12","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42104","Aug-12","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42105","Nov-12","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42106","Feb-13","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42107","May-13","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42108","Aug-13","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42109","Nov-13","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42110","Feb-14","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42111","May-14","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42112","Aug-14","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42113","Nov-14","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42114","Feb-15","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42115","May-15","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42116","Aug-15","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42117","Nov-15","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42118","Feb-16","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42119","May-16","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42120","Aug-16","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42121","Nov-16","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42122","Feb-17","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42123","May-17","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42124","Aug-17","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42125","Nov-17","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42126","Feb-18","Unknown","60-64","E00024278","5 years and over","Over State Pension age",0
"42127","Aug-03","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42128","Nov-03","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42129","Feb-04","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42130","May-04","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42131","Aug-04","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42132","Nov-04","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42133","Feb-05","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42134","May-05","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42135","Aug-05","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42136","Nov-05","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42137","Feb-06","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42138","May-06","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42139","Aug-06","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42140","Nov-06","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42141","Feb-07","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42142","May-07","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42143","Aug-07","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42144","Nov-07","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42145","Feb-08","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42146","May-08","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42147","Aug-08","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42148","Nov-08","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42149","Feb-09","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42150","May-09","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42151","Aug-09","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42152","Nov-09","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42153","Feb-10","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42154","May-10","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42155","Aug-10","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42156","Nov-10","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42157","Feb-11","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42158","May-11","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42159","Aug-11","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42160","Nov-11","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42161","Feb-12","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42162","May-12","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42163","Aug-12","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42164","Nov-12","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42165","Feb-13","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42166","May-13","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42167","Aug-13","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42168","Nov-13","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42169","Feb-14","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42170","May-14","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42171","Aug-14","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42172","Nov-14","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42173","Feb-15","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42174","May-15","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42175","Aug-15","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42176","Nov-15","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42177","Feb-16","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42178","May-16","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42179","Aug-16","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42180","Nov-16","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42181","Feb-17","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42182","May-17","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42183","Aug-17","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42184","Nov-17","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42185","Feb-18","Male","65 and over","E00024278","5 years and over","Over State Pension age",0
"42186","Aug-03","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42187","Nov-03","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42188","Feb-04","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42189","May-04","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42190","Aug-04","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42191","Nov-04","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42192","Feb-05","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42193","May-05","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42194","Aug-05","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42195","Nov-05","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42196","Feb-06","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42197","May-06","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42198","Aug-06","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42199","Nov-06","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42200","Feb-07","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
"42201","May-07","Female","65 and over","E00024278","5 years and over","Over State Pension age",0
